gene,Z40dpf_MTB,Z40dpf_MT,Z60_dpf_MTB,Z60dpf_MT,ZEM_32,combined_adjpval
gene-si:dkey-28b4.7|si:dkey-28b4.7,0.234058569,1.11E-19,0.929479026,1.31E-78,0.998285831,0
gene-zgc:165520|zgc:165520,NA,0.666740474,0.579187536,0.147818716,0.998285831,0.840105289
gene-ndufs8a|ndufs8a,0.290476911,9.59E-43,0.153185294,1.78E-51,0.998285831,0
gene-kdm2aa|kdm2aa,0.125021836,0.691450788,0.643432245,0.145103544,0.998285831,0.622389747
gene-si:dkey-9i23.14|si:dkey-9i23.14,0.523454208,2.63E-105,0.13566134,1.20E-63,0.998285831,0
gene-si:dkey-9i23.15|si:dkey-9i23.15,0.0085629,1.67E-24,0.819788393,1.74E-43,0.998285831,0
gene-wu:fc21g02|wu:fc21g02,0.93152908,1.42E-09,1.01E-05,9.24E-49,0.874203186,0
gene-tcirg1a|tcirg1a,0.000136599,1.19E-13,0.000974506,5.84E-28,0.998463915,0
gene-tmem176|tmem176,0.764268967,2.69E-47,0.784648315,5.41E-20,0.998285831,0
gene-si:dkey-9i23.16|si:dkey-9i23.16,0.954153737,1.84E-07,0.727606482,0.000679634,0.998285831,3.02E-06
gene-cd5|cd5,0.351735137,0.00036951,0.488616932,2.10E-05,0.998285831,2.69E-05
gene-vps37c|vps37c,0.436338718,0.000411363,0.680340295,0.000509177,0.998285831,0.000520007
gene-tmem132a|tmem132a,NA,1.82E-08,0.966006829,1.83E-06,NA,5.09E-11
gene-dnaja1|dnaja1,0.82849421,2.71E-16,2.79E-24,3.68E-50,0.998285831,0
gene-smu1b|smu1b,0.058405184,0.032764705,2.98E-06,1.74E-08,0.998285831,2.65E-11
gene-btr01|btr01,NA,0.18571623,0.821057236,0.036639412,0.998285831,0.342381881
gene-rps6|rps6,0.714880921,0.837992364,0.099432095,0.880309069,0.998285831,0.975945297
gene-LOC799879|LOC799879,NA,0.889778039,0.301201437,0.017228591,0.998285831,0.31161395
gene-LOC799643|LOC799643,NA,0.896569463,NA,0.277981042,0.998285831,0.986290579
gene-muc13a|muc13a,NA,0.052069349,1.50E-07,1.47E-08,0.998285831,3.31E-12
gene-zgc:111983|zgc:111983,0.278489817,9.07E-14,7.28E-11,0.000151682,0.977628938,0
gene-si:ch211-151p13.8|si:ch211-151p13.8,0.047528546,0.08050646,0.01728886,0.000191817,0.998285831,0.000156096
gene-ddx39aa|ddx39aa,0.486011041,2.19E-96,0.003006005,3.15E-70,0.998285831,0
gene-LOC110439860|LOC110439860,NA,7.33E-06,0.991382494,0.076771988,0.998285831,0.000699755
gene-LOC110439861|LOC110439861,NA,2.68E-27,0.223325362,2.09E-13,0.374712137,0
gene-si:ch73-90k17.1|si:ch73-90k17.1,NA,3.22E-18,0.027067512,1.29E-07,1.59E-10,0
gene-si:ch211-239f4.1|si:ch211-239f4.1,0.474625033,0.016317714,0.642303205,8.88E-17,0.998285831,2.17E-13
gene-si:ch211-243a20.4|si:ch211-243a20.4,NA,0.169953499,0.967600544,0.129408086,0.998285831,0.611692058
gene-si:ch211-243a20.3|si:ch211-243a20.3,0.159617165,1.40E-08,0.357295435,0.000220592,0.998285831,1.72E-08
gene-emp1|emp1,0.934167278,0.000156514,0.281319781,1.60E-05,0.998285831,1.54E-05
gene-zgc:101679|zgc:101679,0.764209766,0.000382366,0.73135785,2.48E-06,0.998285831,1.29E-05
gene-grin2bb|grin2bb,0.04460398,0.296015017,1.02E-05,0.000214158,0.998285831,1.22E-06
gene-atf7ip|atf7ip,0.000408227,0.138820126,0.196897596,0.069539216,0.998285831,0.003287125
gene-sept3|sept3,0.450165133,3.07E-24,0.536710799,2.69E-33,0.998285831,0
gene-LOC103909155|LOC103909155,0.04724238,0.000494642,0.97279068,8.03E-06,0.998285831,5.50E-06
gene-mcoln1a|mcoln1a,0.66000724,0.359313838,0.160416449,0.256135696,0.998285831,0.661719034
gene-trappc5|trappc5,0.036958628,0.00038664,0.770112329,0.001114677,0.998285831,0.000152136
gene-serhl|serhl,0.030057461,0.03568943,0.571936343,1.41E-07,0.998285831,3.01E-06
gene-si:ch211-214c7.5|si:ch211-214c7.5,NA,0.000993948,NA,8.36E-50,0.998285831,0
gene-si:ch211-214c7.4|si:ch211-214c7.4,0.99745935,1.09E-14,0.164944717,6.87E-40,0.998285831,0
gene-map2k7|map2k7,0.85475345,0.079815496,0.97234365,6.39E-08,0.998285831,6.69E-05
gene-pkn1a|pkn1a,0.048401168,2.76E-22,0.800677437,3.98E-24,0.998285831,0
gene-lipt1|lipt1,0.274460071,1.18E-28,0.277824682,2.38E-43,0.998285831,0
gene-pnpla6|pnpla6,0.982476572,6.99E-12,8.29E-30,5.85E-30,0.998285831,0
gene-eif5b|eif5b,0.222768654,1.17E-50,4.11E-05,0,0.998285831,0
gene-LOC563925|LOC563925,NA,1.87E-16,NA,4.80E-38,NA,0
gene-sox1b|sox1b,0.668921217,0.944018036,0.173499801,0.141427821,0.998285831,0.756767272
gene-arhgef7b|arhgef7b,0.320850698,2.55E-15,0.754082084,1.70E-37,0.998285831,0
gene-LOC103909161|LOC103909161,0.652298899,0.108456775,0.271103698,0.034002339,0.998285831,0.216082924
gene-atp11a|atp11a,0.767826556,2.46E-11,0.655407405,4.80E-13,0.998285831,0
gene-tubgcp3|tubgcp3,0.011754885,6.97E-20,0.492860508,1.57E-43,0.998285831,0
gene-mcf2la|mcf2la,0.011489207,3.13E-11,0.187553311,6.76E-30,0.998285831,0
gene-si:busm1-105l16.2|si:busm1-105l16.2,0.857693345,0.001121157,0.826501036,1.13E-29,0.998285831,0
gene-arl11|arl11,NA,0.006124967,0.261901452,0.000442335,0.998285831,0.000843396
gene-ebpl|ebpl,0.006504448,0.032428302,0.000506188,0.000130797,0.998285831,6.72E-07
gene-cab39l|cab39l,0.677951355,0.066060999,0.095606076,0.001031465,0.998285831,0.010946103
gene-cdadc1|cdadc1,0.818030435,4.34E-06,0.989923415,9.88E-12,0.998285831,1.05E-11
gene-rcbtb1|rcbtb1,0.046093636,7.82E-05,0.461757246,2.78E-07,0.998285831,3.90E-08
gene-kpna3|kpna3,0.993329651,0.00094122,1.83E-06,2.19E-11,0.998285831,2.40E-14
gene-spryd7a|spryd7a,0.856884975,6.11E-30,0.503008203,1.69E-38,0.998285831,0
gene-mir16b|mir16b,0.730516959,0.292726002,0.960315816,0.588061806,0.998285831,0.999999923
STRG.717|mir16b,NA,NA,NA,NA,0.998285831,0.999999923
STRG.717|mir15a-1,NA,NA,NA,NA,0.998285831,0.999999923
gene-mir15a-1|mir15a-1,NA,NA,NA,NA,0.998285831,0.999999923
gene-LOC103909193|LOC103909193,0.000271031,0.037621057,0.011680234,6.43E-17,0.998285831,0
gene-LOC108190346|LOC108190346,0.102321816,0.236950888,0.170872882,0.267096724,0.998285831,0.279464825
gene-LOC101884727|LOC101884727,0.796101408,0.596450431,0.792255156,0.011632591,0.998285831,0.501204132
gene-si:ch73-160h15.3|si:ch73-160h15.3,0.001277387,1.11E-07,0.665634426,8.51E-10,0.998285831,4.70E-14
gene-LOC101885235|LOC101885235,NA,0.472916892,0.8330753,0.65978867,0.998285831,0.999999923
gene-pdxkb|pdxkb,0.914787992,0.084583028,0.059584149,0.024384239,0.998285831,0.083675578
gene-agpat3|agpat3,0.00061385,0.05522035,0.00024365,0.068570003,0.998285831,1.37E-05
gene-si:dkey-22n8.3|si:dkey-22n8.3,0.720287366,0.918307285,0.061054397,0.368290095,0.998285831,0.748184628
gene-pknox1.2|pknox1.2,0.631892786,7.20E-95,0.00023896,1.89E-236,0.998285831,0
gene-itsn1|itsn1,0.334722349,3.75E-07,0.205849612,3.25E-08,0.998285831,1.71E-10
gene-cryzl1|cryzl1,0.00094,0.00382821,0.584181828,0.107306391,0.998285831,0.001352899
gene-setd4|setd4,0.485894605,1.06E-19,0.932138741,1.61E-171,0.995319723,0
gene-mhc1zea|mhc1zea,0.263782048,1.47E-15,0.002308244,8.53E-12,0.998285831,0
gene-mhc1zca|mhc1zca,0.144591078,1.60E-05,0.046910367,1.31E-06,0.998285831,1.43E-08
gene-LOC103909196|LOC103909196,NA,0.063046343,NA,0.734058245,0.998285831,0.546675766
gene-mhc1zda|mhc1zda,1.26E-09,0.003092944,0.535970217,5.85E-09,0.999052375,8.63E-15
gene-mhc1zba|mhc1zba,0.000742402,5.14E-75,0.039562792,4.43E-104,0.998285831,0
gene-cbr1|cbr1,0.653150821,0.947571166,0.574708069,0.023384512,0.998285831,0.628414225
gene-gja5b|gja5b,NA,0.084262734,0.697649187,0.122638988,0.998285831,0.387021971
gene-lrrc58a|lrrc58a,NA,0.016220957,0.130602944,1.34E-11,0.998285831,4.66E-10
gene-fstl1a|fstl1a,0.06841841,0.014370912,0.008125742,4.63E-08,0.998285831,3.22E-08
gene-stn1|stn1,0.921464828,0.305088255,0.389906525,0.001512191,0.998285831,0.104337226
gene-bcl9|bcl9,8.71E-07,1.19E-11,0.591244371,2.68E-95,0.998285831,0
gene-sh3pxd2aa|sh3pxd2aa,2.22E-05,2.55E-21,0.605909201,3.40E-18,0.998285831,0
gene-neurl1aa|neurl1aa,0.469429002,0.00040373,0.815485738,4.90E-10,0.998285831,8.37E-09
gene-cfap58|cfap58,0.995246442,1.92E-17,0.006903527,3.36E-19,0.998285831,0
gene-sorcs3|sorcs3,0.495421003,0.386271082,0.576921602,0.033787881,0.998285831,0.471964099
gene-LOC101886909|LOC101886909,NA,1.09E-05,0.952172617,NA,0.998285831,0.001604442
gene-cxcl18b|cxcl18b,0.638094001,4.29E-09,0.090650683,1.47E-16,0.998285831,0
gene-si:ch73-6k14.2|si:ch73-6k14.2,NA,NA,0.983960505,0.051628229,0.998285831,0.570968768
gene-LOC100332340|LOC100332340,0.80037995,0.010706133,0.358575825,2.17E-11,0.998285831,7.51E-09
gene-LOC101885528|LOC101885528,NA,NA,NA,NA,NA,NA
gene-LOC110437846|LOC110437846,NA,0.348500426,NA,3.05E-07,NA,4.34E-06
gene-msx1b|msx1b,0.595575737,0.093223888,0.565825853,0.509632552,0.273867313,0.501852285
gene-caly|caly,0.945585435,3.36E-12,0.683092269,5.68E-26,0.998285831,0
gene-si:dkeyp-80c12.7|si:dkeyp-80c12.7,0.792196727,0.016742636,0.979034209,0.008708367,0.998285831,0.083959694
gene-taf5|taf5,0.151220928,7.88E-41,0.152444179,3.71E-27,0.998285831,0
gene-si:dkeyp-80c12.10|si:dkeyp-80c12.10,2.28E-08,2.50E-05,0.263706134,2.78E-16,0.998463915,0
gene-zp3c|zp3c,NA,2.06E-13,0.09532714,2.66E-08,9.04E-05,0
gene-calhm1|calhm1,NA,0.003960931,0.740511494,0.420217546,0.998285831,0.152213288
gene-LOC794408|LOC794408,NA,3.78E-12,0.794214465,6.36E-39,0.998285831,0
gene-si:ch211-281g13.5|si:ch211-281g13.5,NA,3.01E-15,0.301206881,7.01E-27,0.998285831,0
gene-zgc:163136|zgc:163136,NA,2.39E-38,0.731242004,4.52E-21,0.998285831,0
gene-si:ch211-281g13.4|si:ch211-281g13.4,NA,6.07E-11,0.796783079,9.47E-17,0.998285831,0
gene-tsga10|tsga10,0.041800888,3.80E-151,0.029849239,2.84E-92,0.998285831,0
gene-si:ch211-149l1.2|si:ch211-149l1.2,0.814638209,6.74E-07,0.88303895,0.227991172,0.998285831,0.000799418
gene-pdcd11|pdcd11,0.641082114,2.59E-108,0.003640313,1.28E-158,0.998285831,0
gene-zgc:175214|zgc:175214,0.021810692,1.76E-15,0.016003386,5.18E-19,0.998285831,0
gene-col17a1a|col17a1a,0.745922329,1.11E-05,0.872015219,7.03E-17,0.245483431,0
gene-slkb|slkb,0.524635623,2.27E-31,0.335425763,2.14E-57,0.998285831,0
gene-lef1|lef1,0.201934674,0.001900157,0.944803159,1.75E-77,0.998285831,0
gene-hadh|hadh,0.749913086,3.03E-08,0.307593329,1.66E-23,0.998285831,0
gene-cyp2u1|cyp2u1,0.015365999,0.988775985,0.252801412,0.012317918,0.999179309,0.050168215
gene-sgms2|sgms2,0.580526778,0.015530373,0.994313877,1.96E-06,0.998285831,0.000200144
gene-gstcd|gstcd,0.302373798,4.26E-29,0.880588825,1.36E-37,0.998285831,0
gene-npnt|npnt,0.004270206,0.135086414,0.762077193,0.000344438,0.998285831,0.001008152
gene-dkk2|dkk2,0.195974732,0.049663592,0.979034209,9.13E-06,0.998285831,0.000669144
gene-aimp1|aimp1,0.922522156,3.84E-17,0.000273033,5.11E-51,0.998285831,0
gene-tbck|tbck,0.094083651,4.69E-06,0.622926683,0.058050765,0.998285831,0.00018599
gene-papss1|papss1,0.842440615,0.727321773,1.04E-06,0.103457743,0.998285831,0.000543512
gene-abcg2d|abcg2d,0.652298899,2.86E-05,0.45393728,0.027039066,0.998285831,0.001367853
gene-pkd2|pkd2,0.448089684,2.70E-60,0.92052973,1.37E-46,0.998285831,0
gene-LOC101885315|LOC101885315,NA,0.015063938,0.221121477,8.30E-12,0.998285831,4.55E-10
gene-ppm1k|ppm1k,0.293425235,3.06E-06,0.000285414,3.89E-11,0.998285831,7.09E-15
gene-zgc:154142|zgc:154142,0.848805491,0.003850693,0.537244632,6.01E-05,0.998285831,0.000772342
gene-fam13a|fam13a,0.867265656,4.51E-26,0.687006392,6.38E-35,0.998285831,0
gene-herc3|herc3,0.391524326,5.94E-07,0.997536257,5.28E-06,0.998285831,8.85E-08
gene-otx1a|otx1a,0.48764742,1.14E-10,0.118115221,8.91E-11,0.998285831,4.08E-16
gene-si:dkeyp-123h10.2|si:dkeyp-123h10.2,0.510998688,0.001576945,0.168934579,0.000312808,0.998285831,0.000391645
gene-ugp2a|ugp2a,NA,0.801042262,0.637648932,0.068702063,0.998285831,0.728644307
gene-spast|spast,0.416549664,2.99E-15,0.290941797,1.08E-53,0.998285831,0
gene-mdh1aa|mdh1aa,0.391845833,0.255683044,0.16891946,7.00E-43,0.998285831,0
gene-dpy30|dpy30,3.61E-05,8.44E-22,0.195520074,2.42E-38,0.998285831,0
gene-psen2|psen2,0.00475819,7.95E-10,0.353458826,1.51E-20,0.998285831,0
gene-jag1a|jag1a,0.686276305,5.35E-17,0.065514713,5.85E-28,0.998285831,0
gene-LOC108190350|LOC108190350,0.557711626,5.07E-51,0.124263194,2.19E-35,0.998285831,0
gene-srd5a2a|srd5a2a,NA,0.051696139,0.204188881,9.69E-05,0.998285831,0.00111919
gene-btbd3a|btbd3a,0.544062337,0.0786117,0.703537774,0.033574742,0.998285831,0.267697802
gene-esf1|esf1,0.402896903,2.12E-64,0.230185639,1.21E-30,0.998285831,0
gene-ndufaf5|ndufaf5,0.800697099,0.095816762,0.802611489,0.69729017,0.998285831,0.945066411
gene-kif16ba|kif16ba,0.60256702,1.09E-15,0.510720235,2.27E-37,0.998285831,0
gene-mast1a|mast1a,0.295652797,0.073010818,0.349952852,0.140902209,0.998285831,0.274381461
gene-atg4da|atg4da,0.341513898,6.25E-36,0.210190063,1.74E-35,0.998285831,0
gene-actr2a|actr2a,0.008279489,0.011853385,0.07346168,3.08E-08,0.998285831,2.09E-08
gene-spred2a|spred2a,0.278338426,0.001300901,0.946711625,3.52E-08,0.998285831,5.96E-07
gene-fbxo48|fbxo48,0.142786399,2.12E-17,0.277168725,8.32E-25,0.998285831,0
gene-prokr1a|prokr1a,0.960708728,3.28E-09,0.930910075,5.15E-08,0.998285831,3.83E-11
gene-si:ch1073-147h9.1|si:ch1073-147h9.1,0.994790364,0.059600564,0.21287705,0.068624706,0.998285831,0.248270727
gene-snrpb2|snrpb2,0.001246283,5.34E-37,0.161890303,8.75E-96,0.998285831,0
gene-meis1a|meis1a,0.048224449,1.78E-15,0.546330283,2.90E-12,0.998285831,0
gene-etaa1|etaa1,0.646442687,0.106595492,0.413087786,3.82E-16,0.998285831,3.76E-12
gene-ppp3r1b|ppp3r1b,0.919143488,3.13E-139,0.986321448,4.84E-147,0.998285831,0
gene-cnrip1a|cnrip1a,0.124800756,1.57E-23,0.080421838,2.27E-10,0.998285831,0
gene-rnaseh2a|rnaseh2a,0.436598983,5.89E-18,0.118225808,2.62E-20,0.998285831,0
gene-prdx2|prdx2,3.34E-07,0.000558648,0.000175552,4.77E-42,0.998285831,0
gene-dand5|dand5,NA,0.360258704,NA,0.073053423,0.998285831,0.414152974
gene-junba|junba,9.71E-05,1.36E-27,0.590302218,1.74E-66,0.998285831,0
gene-LOC110437879|LOC110437879,0.91011213,0.152768593,0.43006326,0.000205256,0.998285831,0.021509314
gene-LOC103909283|LOC103909283,0.278534855,0.842072191,0.859717828,0.148718774,0.998285831,0.885329091
gene-LOC103909284|LOC103909284,0.000124745,2.24E-46,0.000446665,4.61E-77,0.998285831,0
gene-rnf11a|rnf11a,0.025388313,5.50E-35,2.56E-05,2.80E-87,0.998285831,0
gene-rad23aa|rad23aa,4.66E-05,1.50E-42,0.996830527,2.62E-44,0.998845549,0
gene-best2|best2,NA,NA,NA,0.012751937,0.998285831,0.108111032
gene-pld6|pld6,NA,2.00E-30,0.991534173,1.28E-142,0.998285831,0
gene-si:dkey-121b10.7|si:dkey-121b10.7,NA,NA,NA,0.082388178,0.998285831,0.40374044
gene-zgc:194101|zgc:194101,NA,0.29527141,0.72735817,5.48E-06,0.998285831,0.001247628
gene-si:ch211-217k17.11|si:ch211-217k17.11,NA,4.96E-12,0.106846932,1.15E-28,0.998285831,0
gene-si:ch211-217k17.9|si:ch211-217k17.9,NA,0.000117822,0.361032236,4.79E-06,0.917346909,1.00E-06
gene-asna1|asna1,0.102503115,0.001515344,1.86E-10,4.98E-18,0.998285831,0
gene-rab3da|rab3da,0.832973426,0.00225344,0.805534513,1.69E-22,0.998285831,0
gene-si:ch211-217k17.7|si:ch211-217k17.7,0.018452705,4.65E-121,0.475404346,2.76E-45,0.998285831,0
gene-glb1|glb1,0.172206625,0.026955235,0.857860053,0.027257252,0.998285831,0.082011052
gene-cldnd1b|cldnd1b,0.383629209,3.07E-06,0.996744398,6.63E-20,0.998285831,0
gene-tacr3l|tacr3l,0.796344704,2.96E-14,0.965502925,1.50E-16,0.998285831,0
gene-acy3.2|acy3.2,0.481052682,2.72E-08,0.551557564,1.31E-90,0.998285831,0
gene-LOC108190353|LOC108190353,NA,3.31E-16,0.890907012,4.91E-54,0.998285831,0
gene-acy3.1|acy3.1,0.175923436,0.095732071,0.927122723,0.513414011,0.998285831,0.620974956
gene-aptx|aptx,0.165946702,5.28E-06,0.697559922,0.010911156,0.998285831,9.52E-05
gene-slc44a1a|slc44a1a,0.597911646,0.007427475,0.560670688,0.065059025,0.998285831,0.102990792
gene-wu:fc75a09|wu:fc75a09,0.891480835,4.36E-06,0.796108502,1.47E-05,0.998285831,1.78E-06
gene-abca1a|abca1a,9.99E-05,1.34E-34,2.10E-05,3.92E-36,0.998285831,0
gene-osbp|osbp,0.967188743,0.028467856,0.937927159,3.55E-05,0.998285831,0.003698364
gene-patl1|patl1,0.408489792,5.23E-56,0.042465573,1.03E-247,0.998285831,0
gene-smarca5|smarca5,0.841924816,2.77E-26,4.16E-05,1.41E-78,0.998285831,0
gene-inpp4b|inpp4b,0.023029784,1.18E-50,0.265749689,1.10E-91,0.998285831,0
gene-rnf150|rnf150,0.705982685,0.024243636,0.600841934,0.785847457,0.998285831,0.622608715
gene-il15|il15,0.070894478,3.19E-40,0.707492838,9.17E-30,0.998285831,0
gene-znf330|znf330,9.33E-06,4.76E-20,0.584400304,3.28E-56,0.998285831,0
gene-LOC108190370|LOC108190370,NA,0.900273512,0.966006829,0.439371913,NA,0.999999923
gene-LOC110439888|LOC110439888,NA,0.059613398,NA,0.046092536,NA,0.032487395
gene-zgc:66455|zgc:66455,NA,3.17E-22,0.06185804,2.21E-19,0.003328976,0
gene-b3gnt2a|b3gnt2a,NA,0.884772967,0.975171669,0.638421398,0.998285831,0.999999923
gene-tbc1d9|tbc1d9,0.058078576,0.321778919,0.534930611,0.00288705,0.998285831,0.036959786
gene-ucp1|ucp1,0.463526433,0.939815256,1.76E-11,4.29E-08,0.79411388,1.36E-13
gene-elmod2|elmod2,7.43E-07,0.8398808,0.962143532,8.27E-05,0.998285831,1.91E-06
gene-commd1|commd1,0.004155996,1.86E-09,0.054908165,5.66E-24,0.998285831,0
gene-LOC110439714|LOC110439714,NA,NA,NA,NA,0.998285831,0.999999923
gene-LOC110439958|LOC110439958,NA,NA,NA,NA,0.998285831,0.999999923
gene-LOC103908636|LOC103908636,NA,0.001905068,NA,0.00081865,0.998285831,0.000337598
gene-usp34|usp34,0.128876464,5.61E-21,0.01045209,2.60E-36,0.998285831,0
gene-xpo1a|xpo1a,0.339371883,0.001110462,0.19008294,1.30E-06,0.998285831,3.19E-06
gene-fam161a|fam161a,0.824897812,1.05E-50,0.978463432,1.58E-59,0.390225179,0
gene-pus10|pus10,0.971505073,6.17E-06,0.871549693,1.06E-18,0.998285831,0
gene-cct4|cct4,0.742487555,9.23E-14,1.91E-05,1.30E-30,0.998285831,0
gene-LOC100536887|LOC100536887,0.27011674,NA,0.969524459,NA,0.998285831,0.996454541
gene-akt3b|akt3b,0.048476569,5.09E-05,0.93523635,2.38E-07,0.998285831,4.50E-08
gene-capn9|capn9,NA,2.45E-10,0.185085637,1.58E-08,0.998285831,3.23E-14
gene-ltv1|ltv1,0.869873006,3.04E-27,0.22702054,1.26E-64,0.998285831,0
gene-LOC101883618|LOC101883618,0.975532789,0.623326932,0.437023513,0.888481376,0.998349549,0.999999923
gene-taf5l|taf5l,0.811012834,1.01E-22,0.178528619,2.20E-72,0.998285831,0
gene-si:ch211-133l11.10|si:ch211-133l11.10,0.345483087,0.004034713,0.958487782,0.009395959,0.998285831,0.02182212
gene-nup133|nup133,0.969799218,3.85E-39,0.16488548,3.01E-54,0.998285831,0
gene-acta1a|acta1a,NA,0.140736319,0.83576763,5.94E-09,0.998285831,3.05E-06
gene-ccsapa|ccsapa,0.524743551,0.000185473,0.044959133,5.83E-08,0.998285831,2.35E-08
gene-triobpa|triobpa,0.856066057,1.58E-13,0.946774894,2.43E-57,0.998285831,0
gene-dla|dla,0.886242671,1.07E-12,3.21E-06,2.46E-15,0.998285831,0
gene-smdt1b|smdt1b,0.00189004,0.811368624,0.138912766,0.872193454,0.998285831,0.111194457
gene-dcaf15|dcaf15,0.127522342,0.180741187,0.605915884,0.001119717,0.998285831,0.025146149
gene-rln3b|rln3b,0.691797838,0.001394815,0.862689353,0.026883855,0.998285831,0.031551424
gene-rfx1b|rfx1b,0.036926917,0.00011457,0.026035072,1.24E-14,0.998285831,1.21E-15
gene-LOC100008366|LOC100008366,1.95E-05,9.79E-87,0.000203804,5.23E-112,0.998285831,0
gene-nthl1|nthl1,0.661215983,0.037330555,0.691969853,8.82E-05,0.998285831,0.005247334
gene-LOC100005536|LOC100005536,0.021694211,1.46E-37,0.098658157,2.93E-43,0.998285831,0
gene-LOC110439889|LOC110439889,0.5859078,0.037831578,0.576921602,0.034323727,0.998285831,0.176432536
gene-pkd1a|pkd1a,0.209308349,3.72E-19,6.71E-08,4.86E-34,0.998285831,0
gene-wu:fj19g03|wu:fj19g03,0.799478958,8.18E-13,0.158735815,2.79E-15,0.998285831,0
gene-tsc2|tsc2,6.80E-07,0.000745632,0.008740923,0.019791124,0.817361904,8.00E-09
gene-si:ch211-202h22.10|si:ch211-202h22.10,0.725994744,0.001319377,0.906392261,1.43E-10,0.998285831,1.28E-08
gene-si:ch211-202h22.9|si:ch211-202h22.9,NA,0.025701043,0.978002262,7.38E-09,0.973993343,9.72E-07
gene-tekt4|tekt4,0.552778227,1.42E-121,0.078435379,5.95E-102,0.998285831,0
gene-si:ch211-202h22.8|si:ch211-202h22.8,NA,0.687716581,0.472840638,0.121569833,NA,0.507798185
gene-si:ch211-202h22.7|si:ch211-202h22.7,NA,0.372816756,0.671857455,NA,0.998285831,0.987077866
gene-gprc5bb|gprc5bb,0.03136054,0.000924364,0.21994622,0.03750757,0.998285831,0.001411495
gene-knop1|knop1,0.73911336,0.944493347,0.069818849,0.405886029,0.998285831,0.806001509
gene-exosc1|exosc1,0.005471725,0.032406586,0.835635248,0.011474181,0.998285831,0.005709524
gene-cdc25d|cdc25d,0.5256621,2.12E-09,0.005359818,6.41E-06,0.998285831,1.14E-11
gene-pgam1b|pgam1b,0.054597105,1.11E-13,0.002520472,4.44E-43,0.998285831,0
gene-pi4k2a|pi4k2a,0.005116574,3.87E-06,0.531309217,1.73E-30,0.998285831,0
gene-si:ch211-197k17.3|si:ch211-197k17.3,0.975290415,2.12E-08,0.853456306,1.13E-08,0.999052375,4.89E-11
gene-zgc:136791|zgc:136791,0.04382204,0.002776466,0.653210176,1.00E-18,0.998285831,0
gene-LOC110439890|LOC110439890,NA,NA,NA,NA,NA,NA
gene-LOC559196|LOC559196,0.000495197,0.700577321,0.875538246,0.000253638,0.998845549,0.000610918
gene-si:ch211-196h16.5|si:ch211-196h16.5,0.172483326,0.005172786,0.450861173,1.81E-07,0.998285831,2.61E-06
gene-zfyve27|zfyve27,0.25086901,0.000365555,0.744357904,4.43E-05,0.998285831,5.14E-05
gene-r3hcc1l|r3hcc1l,0.347475221,2.32E-08,0.938479097,4.32E-72,0.998285831,0
gene-golga7ba|golga7ba,7.65E-07,2.42E-25,0.001416548,5.86E-111,0.998285831,0
gene-crtac1a|crtac1a,0.240044464,0.000548447,0.256668803,1.96E-11,0.998285831,1.39E-10
gene-khsrp|khsrp,0.286590944,4.47E-05,2.54E-05,7.09E-09,0.998285831,9.47E-13
gene-si:ch211-196h16.12|si:ch211-196h16.12,NA,3.77E-10,0.919011409,2.63E-12,0.998285831,0
gene-zgc:136864|zgc:136864,0.82849421,9.82E-09,0.962362507,9.49E-08,0.998285831,1.54E-10
gene-slc25a23a|slc25a23a,0.007299988,1.55E-21,0.010023127,1.95E-30,0.998285831,0
gene-vps54|vps54,0.057922186,6.64E-30,0.107173761,1.10E-45,0.998285831,0
gene-mb|mb,0.017155297,0.018699413,0.000355939,0.599532717,0.998285831,0.00055905
gene-rab1aa|rab1aa,0.180039123,0.129101071,0.490403665,0.1302545,0.998285831,0.319898584
gene-pane1|pane1,0.86041239,0.000159535,0.669482818,0.204805422,0.998285831,0.028272196
gene-lgalsla|lgalsla,0.005977999,1.08E-26,0.861635243,7.78E-33,0.998285831,0
gene-peli1a|peli1a,0.409263183,0.167601678,0.785333956,3.52E-06,0.998285831,0.00119103
gene-aftpha|aftpha,0.57500599,0.140408561,0.960868982,0.000583631,0.998285831,0.048812717
gene-sertad2a|sertad2a,0.069972809,0.00231199,0.454459853,0.066333314,0.998285831,0.011706292
gene-zgc:158803|zgc:158803,1.51E-07,2.08E-06,0.913800409,7.37E-07,0.998285831,1.13E-13
gene-mri1|mri1,0.07296642,0.817390547,0.687937308,0.914119741,0.998285831,0.923499985
gene-si:ch211-286b5.2|si:ch211-286b5.2,NA,1.34E-140,0.868112895,1.17E-146,0.998285831,0
gene-nanos3|nanos3,NA,1.33E-37,0.969524459,7.16E-41,0.191640397,0
gene-si:ch211-286b5.4|si:ch211-286b5.4,NA,3.55E-32,NA,2.31E-64,0.000278778,0
gene-cc2d1a|cc2d1a,0.057140964,0.046303729,0.87879261,1.01E-10,0.998285831,2.19E-08
gene-si:ch211-286b5.6|si:ch211-286b5.6,NA,0.004754592,NA,1.32E-07,0.998285831,3.93E-07
gene-zgc:172106|zgc:172106,NA,0.157198589,NA,NA,0.998285831,0.594310375
gene-si:ch211-286b5.8|si:ch211-286b5.8,NA,0.190675078,0.860413998,0.32592616,0.998285831,0.824998382
gene-LOC108186185|LOC108186185,NA,0.408656812,NA,0.318865384,NA,0.533943908
gene-LOC108190423|LOC108190423,NA,0.547838691,0.986321448,0.387771328,0.998285831,0.999999923
