,gene_ID,average_log2FoldChange,adjpval
gene-LOC559520,LOC559520,-1.987860315,3.31E-08
gene-zgc:110283,zgc:110283,-2.300283283,3.27E-05
gene-anxa1c,anxa1c,-3.093187861,1.17E-08
gene-sh2d3cb,sh2d3cb,-2.758851114,1.03E-12
gene-tmem8c,tmem8c,-3.354889248,4.19E-13
gene-LOC103911146,LOC103911146,-5.547153993,0
gene-prlrb,prlrb,-2.940871958,2.04E-07
gene-malt1,malt1,-1.784547468,0
gene-si:ch211-261c8.5,si:ch211-261c8.5,-3.496727009,0
gene-im:7154036,im:7154036,-1.944440045,0
gene-flrt1a,flrt1a,-1.969054577,0
gene-si:dkey-251i10.1,si:dkey-251i10.1,-3.522747843,9.75E-11
gene-zbtb20,zbtb20,-1.617515951,0.004061027
gene-si:dkey-70b23.2,si:dkey-70b23.2,-4.107165462,0
gene-wasf3a,wasf3a,-3.527874482,0
gene-tagln3a,tagln3a,-2.580562093,0.006920743
gene-h1m,h1m,2.734343794,0
gene-ank1a,ank1a,-1.895793542,5.81E-06
gene-slc25a45,slc25a45,-1.800533906,0.005190863
gene-ccno,ccno,-1.63720691,0.00062993
gene-si:ch211-157p22.10,si:ch211-157p22.10,-2.214084964,0
gene-rgs3a,rgs3a,-2.133029399,0
gene-ak1,ak1,-3.252413055,0
gene-lhx3,lhx3,-3.419804313,0.003279501
gene-fam78ab,fam78ab,-1.623821642,0.043944504
gene-tbx3a,tbx3a,-1.764716477,0.000399714
gene-smyd1a,smyd1a,-2.67856536,0
gene-fabp1a,fabp1a,-2.728257027,0.026504713
gene-LOC100151196,LOC100151196,-1.765243991,0
gene-LOC100332847,LOC100332847,-2.567390728,0
gene-cdkn2d,cdkn2d,-2.166905453,0
gene-LOC100535713,LOC100535713,-1.517595217,0
gene-LOC101886216,LOC101886216,-2.196409608,0.000869559
gene-LOC100005420,LOC100005420,-2.110029042,0.000453806
gene-pde6h,pde6h,-2.837484478,0.002653886
gene-LOC110437775,LOC110437775,-2.95543718,1.89E-05
gene-fam83fb,fam83fb,-1.760998502,7.45E-09
gene-grap2b,grap2b,-2.024270792,0
gene-LOC100329795,LOC100329795,-3.938253996,0
gene-kdm4aa,kdm4aa,-2.111587389,0
gene-klhl41b,klhl41b,-1.68787949,0.000643437
gene-sp5b,sp5b,1.715793266,0
gene-erich2,erich2,-2.067281744,0
gene-gad1b,gad1b,-1.52078117,5.95E-14
gene-dync1i2b,dync1i2b,-2.017868637,0
gene-LOC110439856,LOC110439856,-2.952644772,5.15E-06
gene-ccdc88aa,ccdc88aa,-5.794534977,0
gene-LOC405768,LOC405768,-2.53580636,3.40E-11
gene-dzip1,dzip1,-2.608203148,0
gene-arf3b,arf3b,3.367510645,0
gene-zgc:171558,zgc:171558,-2.491026461,0.028513885
gene-si:ch211-237c6.4,si:ch211-237c6.4,-1.594879806,0
gene-sox21a,sox21a,1.972063883,0
gene-plppr2b,plppr2b,-1.683705706,2.06E-08
gene-klf1,klf1,-1.920976637,0.004312708
gene-ccdc151,ccdc151,-4.351684245,0
gene-nfil3-5,nfil3-5,-1.524255081,0
gene-acp5a,acp5a,3.009120962,4.52E-11
gene-ptger1a,ptger1a,-1.910237031,2.42E-05
gene-LOC110439859,LOC110439859,-2.357933091,0
gene-LOC100151335,LOC100151335,-1.921194901,3.67E-05
gene-tbx19,tbx19,-2.048456281,2.01E-15
gene-LOC103911173,LOC103911173,-3.823145621,0
gene-LOC100006122,LOC100006122,-1.604715255,0.008124346
gene-pimr70,pimr70,-2.200482354,0.025334585
gene-si:ch211-113j14.1,si:ch211-113j14.1,-2.130896946,0
gene-cyp27c1,cyp27c1,-2.105658844,0
gene-LOC110439849,LOC110439849,-2.102976901,0.008964839
gene-cdk15,cdk15,-2.773792778,0
gene-htr2ab,htr2ab,-2.116867456,0
gene-atp7b,atp7b,-2.114534207,0
gene-b3galt1a,b3galt1a,-1.955640854,6.54E-05
gene-kcnh7,kcnh7,-1.627159063,0.00075333
gene-dnah9l,dnah9l,-2.507710563,0
gene-scn1lab,scn1lab,-1.51208992,0
gene-chrna1,chrna1,-2.024885157,1.55E-08
gene-myo10l1,myo10l1,-2.17386254,0
gene-col5a2b,col5a2b,-1.55450105,0
gene-zswim2,zswim2,-2.070401836,0
gene-gpd2,gpd2,-1.609189304,0
gene-fam117ba,fam117ba,-2.960126699,0
gene-mcm6,mcm6,-2.127064279,0
gene-LOC101884979,LOC101884979,-3.199253708,0.039318509
gene-catip,catip,-3.718960209,0
gene-dytn,dytn,-4.103946715,0
gene-adam23a,adam23a,-2.605008374,0
gene-asic4b,asic4b,-1.778522404,0.00875987
gene-wnt6a,wnt6a,-1.916090028,4.25E-08
gene-ptprnb,ptprnb,-2.159508718,3.50E-11
gene-st6gal2b,st6gal2b,1.522800527,0
gene-lrrfip1b,lrrfip1b,-2.228386501,0
gene-pimr197,pimr197,-2.530020558,0
gene-gbx2,gbx2,1.639466397,0.001922093
gene-iqca1,iqca1,-3.293443186,0
gene-faimb,faimb,-3.313306471,4.56E-06
gene-p4hb,p4hb,1.77811758,0
gene-ccdc40,ccdc40,-2.707335236,0
gene-si:dkey-10p5.7,si:dkey-10p5.7,-1.8646656,0.02377485
gene-sept9b,sept9b,-2.460729583,0.039010606
gene-sumo2a,sumo2a,1.799420945,0
gene-slc19a1,slc19a1,-1.641562392,0
gene-tns1a,tns1a,-1.716597019,8.68E-05
gene-cx44.2,cx44.2,2.013382569,0
gene-si:dkey-91f15.8,si:dkey-91f15.8,1.845494391,0
gene-cidec,cidec,-3.879426342,2.62E-12
gene-si:dkey-43k4.3,si:dkey-43k4.3,-3.140683838,0
gene-lhfpl4a,lhfpl4a,-2.379082903,2.69E-05
gene-plxnb1b,plxnb1b,-1.815561264,0
gene-LOC798495,LOC798495,-5.096397031,4.08E-16
gene-LOC794378,LOC794378,-3.073101483,7.82E-14
gene-zgc:158654,zgc:158654,-2.281167239,7.24E-05
gene-si:dkey-44g17.6,si:dkey-44g17.6,-1.902296591,8.26E-09
gene-si:ch73-389b16.1,si:ch73-389b16.1,-3.056519733,7.00E-07
gene-LOC101882369,LOC101882369,-3.448664527,0.010672071
gene-tgfbr3,tgfbr3,-1.953189865,0.017010278
gene-znf644b,znf644b,-2.884611012,0.021260813
gene-barhl2,barhl2,-2.582825487,4.35E-07
gene-dzip1l,dzip1l,-3.216816535,0
gene-sox14,sox14,-1.69498023,0.000716805
gene-sned1,sned1,-1.644998811,0
gene-im:7152348,im:7152348,-2.211934086,3.96E-05
gene-gpr17,gpr17,-2.181529864,0.000919857
gene-bcl6a,bcl6a,1.542721509,3.26E-10
gene-fam69ab,fam69ab,-2.74557579,1.66E-05
gene-dpt,dpt,-1.64683687,0.006413527
gene-mrpl47,mrpl47,2.764300794,0.000114473
gene-lrrc7,lrrc7,-2.241528611,0
gene-wdr78,wdr78,-2.533536726,0
gene-lepr,lepr,-4.191528338,0
gene-foxd3,foxd3,-1.699650234,0.000306684
gene-nasp,nasp,1.615342052,0
gene-lrp8,lrp8,-3.264990402,3.48E-11
gene-rgs16,rgs16,-2.31964412,0
gene-brinp3a.2,brinp3a.2,-1.788833629,5.31E-11
gene-LOC103911258,LOC103911258,-2.651758106,0.00918688
gene-chst7,chst7,-1.787540226,0
gene-fndc9,fndc9,-1.936389933,0.000318975
gene-cnga3a,cnga3a,-3.704926884,0
gene-tns2b,tns2b,-1.960913832,0
gene-krt4,krt4,-2.387966798,0
gene-mettl7a,mettl7a,-1.991336203,9.00E-09
gene-si:ch211-173n18.3,si:ch211-173n18.3,-2.659252604,4.08E-10
gene-si:ch211-173n18.4,si:ch211-173n18.4,-2.015053774,5.20E-07
gene-c1ql4b,c1ql4b,-3.072155966,3.34E-08
gene-smarcc2,smarcc2,-1.656282271,0
gene-LOC108190417,LOC108190417,-2.252027768,0.000191691
gene-LOC100332423,LOC100332423,-2.724881596,7.05E-05
gene-ttll3,ttll3,-2.469147207,0
gene-si:dkey-28n18.9,si:dkey-28n18.9,-1.959111738,6.09E-08
gene-slc4a8,slc4a8,-3.460137944,0
gene-fgd5b,fgd5b,-1.504013683,0.002140691
gene-LOC101884206,LOC101884206,-3.392827499,0
gene-si:ch73-15b2.5,si:ch73-15b2.5,1.797424417,0
gene-ccdc36,ccdc36,-3.316775174,0
gene-kbtbd12,kbtbd12,-3.797491207,0
gene-p4htm,p4htm,-3.878209539,0
gene-si:ch211-157b11.8,si:ch211-157b11.8,-1.995397269,0.004454179
gene-h1fx,h1fx,-1.834381282,0
gene-LOC101885030,LOC101885030,-2.716341756,4.02E-10
gene-slc6a13l,slc6a13l,-2.032260632,0.000434151
gene-twf2,twf2,-3.044454377,3.56E-08
gene-cav3,cav3,-3.270868651,0.002604609
gene-oxtr,oxtr,-2.320499592,0.042577262
gene-parp3,parp3,-1.548336534,0
gene-grm2a,grm2a,-2.192220578,0.008722778
gene-LOC103911264,LOC103911264,-2.121129045,5.81E-05
gene-si:ch211-241d24.1,si:ch211-241d24.1,-3.034030675,0
gene-tnfrsf18,tnfrsf18,-2.412837215,1.57E-09
gene-eevs,eevs,-2.629990479,0.019184233
gene-si:dkey-58f6.2,si:dkey-58f6.2,-3.383591431,3.02E-09
gene-LOC101882029,LOC101882029,-1.601024319,0.000191386
gene-prok2,prok2,-2.780855659,0
gene-gpr27,gpr27,-1.954303826,0
gene-h6pd,h6pd,-2.935264122,1.61E-10
gene-zgc:162324,zgc:162324,-5.089994735,0
gene-igfn1.2,igfn1.2,-2.050695099,0.018828784
gene-zgc:66479,zgc:66479,1.704700727,0
gene-igfn1.1,igfn1.1,-1.818798284,0.000579887
gene-si:ch211-286o17.1,si:ch211-286o17.1,-1.717378307,0
gene-im:7151449,im:7151449,-1.832489726,0
gene-si:dkey-92f12.2,si:dkey-92f12.2,-2.462379352,0
gene-slc5a8l,slc5a8l,-2.551219888,3.70E-13
gene-sycp1,sycp1,-2.690389069,0
gene-tshba,tshba,-2.104840492,2.57E-06
gene-ngfb,ngfb,-2.472310709,3.96E-06
gene-LOC110439878,LOC110439878,-2.744091382,2.65E-11
gene-tspan2a,tspan2a,-1.608489712,0
gene-kcna3a,kcna3a,-2.676869566,0.002997812
gene-apcdd1l,apcdd1l,-2.411480514,0.001471476
gene-tubb1,tubb1,-1.959008709,0.021826235
gene-mmp24,mmp24,-2.131971079,0.031022903
gene-si:ch211-161c3.5,si:ch211-161c3.5,-1.74115845,0.028733307
gene-mst1,mst1,-2.194441038,8.78E-12
gene-cacna2d2a,cacna2d2a,-1.712804319,3.98E-08
gene-spdef,spdef,-1.739650392,1.18E-08
gene-LOC108179103,LOC108179103,-1.538315213,0.027352922
gene-tulp1b,tulp1b,-3.548637859,3.86E-13
gene-LOC559637,LOC559637,-2.877998819,8.11E-16
gene-LOC571865,LOC571865,-3.308887145,0
gene-LOC797048,LOC797048,-3.298022887,6.29E-11
gene-gcnt7,gcnt7,-2.02733839,0.001844297
gene-tfap2c,tfap2c,-1.775650638,0
gene-LOC110439879,LOC110439879,-2.613292927,0
gene-snta1,snta1,-1.921281147,0.000597685
gene-tox2,tox2,-2.087336172,3.13E-06
gene-helz2,helz2,-1.503883224,0
gene-soat2,soat2,-1.772652205,0.000141038
gene-kif5ab,kif5ab,-2.378058027,1.84E-06
gene-arhgap9,arhgap9,-5.06108965,0
gene-ddit3,ddit3,-1.965952235,0
gene-LOC103910356,LOC103910356,-2.661124195,0
gene-slain1b,slain1b,-2.337047147,2.06E-05
gene-epdl1,epdl1,-1.850476207,1.21E-15
gene-LOC100149796,LOC100149796,-2.958230682,0.00386727
gene-si:dkeyp-74b6.2,si:dkeyp-74b6.2,-2.104939885,0.000546844
gene-khnyn,khnyn,-1.64567445,0
gene-si:cabz01007807.1,si:cabz01007807.1,-1.595860748,3.44E-11
gene-si:ch211-282j17.1,si:ch211-282j17.1,-3.312995823,5.76E-08
gene-LOC110439915,LOC110439915,-1.539973501,0
gene-slc12a10.2,slc12a10.2,-3.082062265,1.71E-14
gene-si:ch211-63p21.8,si:ch211-63p21.8,-1.573809401,0.040969333
gene-LOC100535728,LOC100535728,-3.487138281,0
gene-zgc:110425,zgc:110425,-2.356380918,0
gene-LOC100331412,LOC100331412,2.191998857,1.38E-05
gene-LOC565813,LOC565813,-1.672302834,0.007976809
gene-LOC565947,LOC565947,-2.164883752,0.043585351
gene-si:dkey-23a13.8,si:dkey-23a13.8,2.333302418,1.79E-07
gene-zgc:163040,zgc:163040,1.688392903,4.86E-14
gene-LOC101884770,LOC101884770,-2.305820414,0.001827634
gene-kcnj10a,kcnj10a,-2.569644121,8.47E-05
gene-six7,six7,-3.251170796,0
gene-cxcl8b.1,cxcl8b.1,-3.405319169,2.86E-06
gene-si:cabz01030277.1,si:cabz01030277.1,-2.374419232,0.01459126
gene-LOC795232,LOC795232,-2.57427568,2.44E-07
gene-jac8,jac8,1.670068902,0.038784191
gene-jac3,jac3,-2.460862457,0.001160181
gene-si:ch211-1o7.2,si:ch211-1o7.2,-1.972638759,0
gene-LOC101886485,LOC101886485,-1.915077869,1.84E-08
gene-LOC110439927,LOC110439927,-1.883671254,0.011197662
gene-si:cabz01029535.1,si:cabz01029535.1,-2.150272966,0.005324719
gene-cemip,cemip,-1.532901137,0
gene-saxo2,saxo2,-2.768745266,0
gene-zgc:158785,zgc:158785,-1.8602635,0.031382287
gene-LOC103911351,LOC103911351,2.48735301,0.000378088
gene-saa,saa,-2.860156834,0.019860577
gene-si:ch73-119p20.1,si:ch73-119p20.1,-3.149721975,6.49E-07
gene-dagla,dagla,-1.794024295,6.64E-12
gene-si:cabz01068815.1,si:cabz01068815.1,1.688110703,2.40E-15
gene-rasl12,rasl12,-2.152624813,2.46E-06
gene-rhcga,rhcga,-1.643724272,6.89E-07
gene-fes,fes,-2.256595446,6.14E-12
gene-akap13,akap13,-1.591214463,0.00672357
gene-si:ch211-106j24.1,si:ch211-106j24.1,-1.830223714,0.001447963
gene-LOC103911354,LOC103911354,-2.020397681,0.009842609
gene-lrrc28,lrrc28,-1.901883338,0.025675567
gene-LOC100332973,LOC100332973,-4.584216344,0
gene-LOC100535633,LOC100535633,-1.512921732,1.87E-09
gene-LOC100535819,LOC100535819,-2.324398277,0.007165747
gene-nav2a,nav2a,-2.272095293,6.04E-07
gene-nitr3r.1l,nitr3r.1l,-1.89390065,0.002522988
gene-cth1,cth1,1.762817801,0
gene-si:ch73-40a2.1,si:ch73-40a2.1,-1.78807463,1.29E-12
gene-si:ch211-119e14.9,si:ch211-119e14.9,-3.455530612,9.58E-10
gene-LOC110439931,LOC110439931,-1.865525191,2.75E-11
gene-LOC108190653,LOC108190653,-5.226644546,1.73E-12
gene-si:ch211-212k18.6,si:ch211-212k18.6,-3.981649,0
gene-si:ch73-71d17.1,si:ch73-71d17.1,-2.044757067,0.001094718
gene-slc7a7,slc7a7,-3.056706473,7.58E-12
gene-acap1,acap1,-1.853722676,1.74E-13
gene-ntn5,ntn5,-2.022888411,0.022241118
gene-si:dkey-19b23.12,si:dkey-19b23.12,-5.223897071,0
gene-zgc:158423,zgc:158423,4.481453551,0.000315557
gene-chd3,chd3,-2.25413569,0
gene-cyb5d1,cyb5d1,-2.187423253,0
gene-si:dkey-111f13.5,si:dkey-111f13.5,-1.626661443,0.001725177
gene-dnah2,dnah2,-1.842650127,0
gene-nlgn2a,nlgn2a,-1.589256899,0
gene-fgf11a,fgf11a,2.193721439,0.00254253
gene-cldn7a,cldn7a,-1.601633288,6.18E-09
gene-ugt5g1,ugt5g1,-3.807739274,4.83E-08
gene-si:dkey-171c9.3,si:dkey-171c9.3,-2.942181728,0
gene-tnfsf10l,tnfsf10l,-3.300546798,4.67E-13
gene-pygmb,pygmb,-2.108523853,0
gene-LOC108190663,LOC108190663,-3.673488512,0
gene-rab39bb,rab39bb,-2.373795641,3.40E-06
gene-ccdc166,ccdc166,-3.872331531,0
gene-gmpr2,gmpr2,-1.638296076,0
gene-slc7a8a,slc7a8a,-2.253670726,0
gene-txn,txn,-1.734844923,0
gene-poln,poln,-1.693503935,0
gene-calb2b,calb2b,-2.439672514,0.002581538
gene-alox12,alox12,-1.538762371,0
gene-mtmr1a,mtmr1a,-2.198554442,0
gene-ache,ache,-1.831691144,0
gene-si:ch211-196f2.6,si:ch211-196f2.6,-1.548681645,0.000262695
gene-si:ch211-196f2.7,si:ch211-196f2.7,-2.231673519,8.56E-11
gene-vgf,vgf,-2.75624891,9.68E-09
gene-si:dkey-62k3.5,si:dkey-62k3.5,-1.703411481,2.84E-10
gene-alx4a,alx4a,-1.708726983,0.02943736
gene-nucb2a,nucb2a,-1.976784373,0
gene-stk33,stk33,-2.130879415,0
gene-trim66,trim66,-2.781400609,1.87E-11
gene-nrn1lb,nrn1lb,-1.687626688,0
gene-dnaaf1,dnaaf1,-2.578931443,0
gene-mtbl,mtbl,-5.820365849,0.039154617
gene-tpma,tpma,-1.625851441,1.45E-11
gene-zgc:162945,zgc:162945,1.528053047,0
gene-si:dkey-1h4.4,si:dkey-1h4.4,-1.956017521,0
gene-terb2,terb2,-2.391942925,5.40E-09
gene-mybpc3,mybpc3,-2.632724309,1.90E-05
gene-LOC103911387,LOC103911387,-2.551183318,0.000157669
gene-lgr4,lgr4,-1.998309445,0
gene-kcnc1a,kcnc1a,-3.305925812,1.55E-09
gene-si:ch211-194p6.12,si:ch211-194p6.12,-1.574307706,6.72E-07
gene-itga11a,itga11a,-2.902559106,1.73E-10
gene-lctla,lctla,-2.390983981,0.03199973
gene-tex9,tex9,-1.976182805,0
gene-calml4a,calml4a,-2.144740141,0.000116809
gene-lpcat2,lpcat2,-2.031213066,0
gene-amfrb,amfrb,-3.029969604,4.59E-05
gene-dpep2,dpep2,-2.498313321,3.10E-12
gene-zgc:165481,zgc:165481,1.716560042,0
gene-syt13,syt13,1.608493765,0
gene-LOC101882371,LOC101882371,-2.071165348,4.08E-16
gene-tnni2b.2,tnni2b.2,-1.51710641,8.40E-12
gene-tnni2b.1,tnni2b.1,-1.578271002,0
gene-tnnt3b,tnnt3b,-1.915416874,3.64E-12
gene-slc22a18,slc22a18,-1.654189547,9.02E-15
gene-ptpn5,ptpn5,-1.873770468,0.046412924
gene-si:dkey-58i8.5,si:dkey-58i8.5,-2.413132611,0
gene-ccdc96,ccdc96,-1.71568581,0
gene-si:ch73-174h16.5,si:ch73-174h16.5,-3.784450364,0
gene-ptprn2,ptprn2,-2.175468645,0
gene-rnf32,rnf32,-2.03033876,0
gene-shha,shha,-3.141197039,7.79E-14
gene-rgs9bp,rgs9bp,-3.408735643,0.007147886
gene-si:dkey-86l18.8,si:dkey-86l18.8,-4.925595042,0
gene-plxdc2,plxdc2,-2.009822114,0
gene-LOC110439937,LOC110439937,-4.351439697,0
gene-neto2,neto2,-1.915726163,0.008141747
gene-LOC108190699,LOC108190699,-1.52659804,0
gene-zgc:194678,zgc:194678,-2.407931107,0.042365626
gene-pop4,pop4,1.69064129,0
gene-ccne1,ccne1,1.701798243,0
gene-si:ch211-260e23.9,si:ch211-260e23.9,-4.050068062,0
gene-znf536,znf536,-1.723900773,0
gene-LOC101885577,LOC101885577,-3.87765611,0
gene-si:ch211-210p4.6,si:ch211-210p4.6,-1.984911516,0
gene-rassf7b,rassf7b,-2.814259415,0
gene-ascl1b,ascl1b,-1.65675074,1.97E-07
gene-serinc4,serinc4,-2.892248548,1.25E-05
gene-rasl11a,rasl11a,-1.511130531,0
gene-cited1,cited1,1.614497493,0
gene-LOC557301,LOC557301,-1.848703296,0
gene-si:busm1-71b9.3,si:busm1-71b9.3,-2.095397296,4.90E-05
gene-cdh28,cdh28,-3.30000395,8.02E-05
gene-LOC108190717,LOC108190717,-1.755886498,0
gene-fgf3,fgf3,-1.71582067,0.044038204
gene-snai3,snai3,1.573152431,0
gene-sult5a1,sult5a1,-3.451126175,0
gene-kcng4b,kcng4b,-3.774026013,0.001599603
gene-enosf1,enosf1,-1.650156026,0
gene-camk2d1,camk2d1,-2.241407981,5.88E-13
gene-penkb,penkb,-2.524331773,2.42E-07
gene-plag1,plag1,-1.631399682,3.69E-12
gene-zgc:56231,zgc:56231,1.761998466,0
gene-LOC101883836,LOC101883836,-1.57006776,0.008606414
gene-LOC101884402,LOC101884402,-2.938985144,0.036591394
gene-LOC103911430,LOC103911430,-1.71293351,3.51E-10
gene-cckar,cckar,1.747129832,0
gene-adgrg3,adgrg3,-2.465978087,3.68E-06
gene-vat1l,vat1l,-3.690033327,0
gene-tead1b,tead1b,-2.382825538,5.12E-05
gene-ampd3a,ampd3a,-2.464188792,0.001908614
gene-swap70a,swap70a,-1.963066127,4.70E-11
gene-LOC108190733,LOC108190733,-2.305562714,8.13E-06
gene-pmfbp1,pmfbp1,-3.723851539,0
gene-LOC103911445,LOC103911445,-3.575864916,3.42E-05
gene-LOC101885590,LOC101885590,-2.31522884,0.033461122
gene-tspan5a,tspan5a,-1.642230035,0
gene-myoz2a,myoz2a,-3.119209703,2.42E-09
gene-LOC100331330,LOC100331330,-2.563461929,2.05E-06
gene-acer2,acer2,-2.183400711,0
gene-LOC101886560,LOC101886560,-1.848863356,0.035847858
gene-rph3ab,rph3ab,-2.407088575,1.11E-08
gene-hectd4,hectd4,-2.135252071,0
gene-mapk8ip1b,mapk8ip1b,-2.305796151,1.80E-10
gene-LOC100332841,LOC100332841,-2.361369115,0.003143047
gene-LOC571043,LOC571043,-2.268280111,0
gene-LOC100332770,LOC100332770,-3.017819037,0
gene-arhgef40,arhgef40,-1.703649934,0
gene-LOC103909050,LOC103909050,-3.598512947,1.75E-14
gene-ptprda,ptprda,-1.696124271,0
gene-tyrp1a,tyrp1a,-1.573641771,0.031870365
gene-prr16,prr16,-2.882074914,3.55E-07
gene-LOC108190923,LOC108190923,-2.53511341,0
gene-znf608,znf608,-2.650705394,3.01E-08
gene-loxhd1b,loxhd1b,-1.886670476,2.11E-07
gene-znf366,znf366,-2.771476709,1.01E-08
gene-LOC570938,LOC570938,-3.199546633,0.000471045
gene-si:dkey-178e17.1,si:dkey-178e17.1,-3.449485695,3.08E-11
gene-LOC101883361,LOC101883361,-2.239746706,0.027171746
gene-ikbkb,ikbkb,-2.513909091,0
gene-si:ch211-220d9.3,si:ch211-220d9.3,-2.67589105,0
gene-zdhhc12a,zdhhc12a,-3.378601564,1.90E-14
gene-pptc7a,pptc7a,-3.05030803,0
gene-gp1bb,gp1bb,-3.046382076,0.001760781
gene-LOC101886239,LOC101886239,-3.419026724,0
gene-es1,es1,-3.326101435,2.83E-08
gene-dpysl2a,dpysl2a,-1.622608642,0.009726368
gene-nefmb,nefmb,-2.29920987,3.37E-05
gene-si:ch211-255g12.8,si:ch211-255g12.8,-2.282338248,0
gene-neflb,neflb,-2.997326736,1.06E-12
gene-asic1a,asic1a,-2.350540513,0.002210806
gene-slc6a6a,slc6a6a,-1.946156586,0
gene-gata1b,gata1b,-3.830118541,0
gene-lhfpl4b,lhfpl4b,-2.505169691,0.012191744
gene-cdk20,cdk20,-3.625529339,0
gene-grm6a,grm6a,-2.436296294,3.07E-07
gene-si:ch211-180f4.1,si:ch211-180f4.1,-2.187067892,0.000976106
gene-si:dkey-83k24.5,si:dkey-83k24.5,-2.43454135,1.47E-05
gene-slc6a8,slc6a8,-2.229116833,9.83E-08
gene-LOC108191020,LOC108191020,-3.648496484,0.015048338
gene-nr1h5,nr1h5,-1.666418846,1.37E-07
gene-si:ch211-248e11.2,si:ch211-248e11.2,-1.694564966,0
gene-LOC103911473,LOC103911473,-1.692371825,0
gene-fnbp1a,fnbp1a,-1.794513232,0
gene-ift81,ift81,-1.932103811,0
gene-phf19,phf19,-2.349534566,0
gene-si:dkey-208b23.5,si:dkey-208b23.5,-4.00675465,0
gene-itgb4,itgb4,-1.51754486,0
gene-zgc:194990,zgc:194990,-1.570928969,7.85E-08
gene-kcnn1b,kcnn1b,-1.700683043,0
gene-LOC101886813,LOC101886813,-4.431157988,6.22E-09
gene-jak3,jak3,-1.576863317,0
gene-LOC100001608,LOC100001608,-5.05236061,0
gene-pimr106,pimr106,-1.944809506,2.35E-08
gene-LOC100001760,LOC100001760,-4.056884621,5.39E-13
gene-fut9d,fut9d,-2.708093807,0.000799418
gene-doc2d,doc2d,-1.513887203,0.002409533
gene-elavl4,elavl4,-1.749531685,0
gene-LOC101883465,LOC101883465,-1.786670719,0
gene-elovl7a,elovl7a,2.431557562,0.000144193
gene-si:dkey-190g11.3,si:dkey-190g11.3,-2.973872901,1.50E-07
gene-tnni3k,tnni3k,-3.190334695,5.25E-05
gene-erich3,erich3,-2.832636765,0
gene-si:dkey-267j14.7,si:dkey-267j14.7,-5.38236544,0
gene-LOC799481,LOC799481,-2.432310814,0.000457624
gene-rnf220b,rnf220b,-2.202388967,0.002625086
gene-obscna,obscna,-1.70147929,0
gene-fam150a,fam150a,-3.893464204,0
gene-zgc:153738,zgc:153738,-2.062198117,0
gene-nexn,nexn,-1.911400886,0.006046013
gene-si:ch211-232d19.4,si:ch211-232d19.4,-1.787804373,0
gene-fsd1,fsd1,-3.35198967,6.74E-14
gene-LOC103911496,LOC103911496,-1.879023129,2.61E-06
gene-lpxn,lpxn,-1.77342183,0.000358992
gene-mfsd12b,mfsd12b,-1.664132935,0.000469755
gene-nfic,nfic,-6.671088039,0
gene-si:ch73-196i15.3,si:ch73-196i15.3,-3.086466062,0.03242182
gene-gls2a,gls2a,-4.394692233,7.74E-11
gene-fhad1,fhad1,-2.16835667,0.004403927
gene-LOC798191,LOC798191,-2.674364467,0.010025111
gene-si:dkey-70p6.1,si:dkey-70p6.1,-2.992201346,1.88E-08
gene-ptk6a,ptk6a,-1.676555244,2.80E-05
gene-nol4la,nol4la,-1.508667718,4.76E-13
gene-foxp3b,foxp3b,-3.294369425,0
gene-wasb,wasb,-1.881497728,0
gene-si:ch211-163l21.10,si:ch211-163l21.10,-2.491321617,0
gene-LOC568680,LOC568680,-2.195595854,0.027898812
gene-LOC100148399,LOC100148399,1.579944758,0
gene-slc16a4,slc16a4,-1.688412368,5.57E-11
gene-LOC101884680,LOC101884680,-3.062912396,5.45E-10
gene-ahcyl1,ahcyl1,-1.768453963,0
gene-gnat2,gnat2,-3.706325892,1.33E-11
gene-gnai3,gnai3,-1.983736484,2.30E-05
gene-LOC100534789,LOC100534789,-1.897687034,5.20E-10
gene-slc38a5a,slc38a5a,-2.512099459,3.24E-07
gene-foxp3a,foxp3a,-2.349002679,0
gene-cacna1sb,cacna1sb,-1.630905943,0.000504149
gene-rhoab,rhoab,-1.953375351,0
gene-sema3h,sema3h,-3.878022369,0
gene-LOC558704,LOC558704,-1.735934803,1.36E-11
gene-slc26a6,slc26a6,-1.841070954,0
gene-sema3bl,sema3bl,-2.580581006,0
gene-sema3b,sema3b,-1.652933539,0
gene-zymnd12,zymnd12,-3.01960497,0
gene-LOC100004075,LOC100004075,-1.579586025,2.56E-07
gene-si:ch211-254n4.3,si:ch211-254n4.3,1.824187587,0
gene-mov10b.2,mov10b.2,-4.070926728,0
gene-mov10b.1,mov10b.1,-1.535049683,5.15E-15
gene-cttnbp2nlb,cttnbp2nlb,-5.57039094,3.85E-12
gene-slc13a3,slc13a3,-2.611179432,1.37E-05
gene-si:ch211-103n10.5,si:ch211-103n10.5,-1.701873036,2.11E-13
gene-ptch1,ptch1,-2.241928719,1.22E-05
gene-adora2aa,adora2aa,-2.660352735,9.86E-08
gene-mmp11a,mmp11a,1.505301822,0.016483619
gene-ptgesl,ptgesl,5.26254577,1.46E-10
gene-slc20a1a,slc20a1a,-2.642583602,1.92E-05
gene-znf131,znf131,2.603370484,0
gene-c7a,c7a,-1.653999235,0
gene-rgs7bpa,rgs7bpa,-2.074151002,0.003907061
gene-lipg,lipg,2.061601738,0
gene-epgn,epgn,-3.299607868,0.000141223
